id,latitude,longitude,accommodates,bathrooms,price,minimum_nights,maximum_nights,availability_30,number_of_reviews,number_of_reviews_ltm,restaurants,bars,cafes,universities,cta,time_to_cta_minutes
1195259,41.91095,-87.67783,3,1.0,135.0,4,1124,30,180,11,134.0,40.0,36.0,0.0,3.0,1.65
1225964,41.93804,-87.64134,2,2.0,70.0,2,29,23,9,0,88.0,43.0,23.0,0.0,3.0,14.27
1229238,41.94735,-87.75761999999997,10,2.0,210.0,1,2,20,95,14,13.0,5.0,4.0,0.0,0.0,34.56
1229267,41.94556,-87.75419000000002,2,1.0,40.0,1,5,27,11,3,11.0,3.0,4.0,0.0,0.0,33.02
1249397,41.97009,-87.67423000000002,5,2.0,130.0,1,1125,0,11,1,54.0,19.0,16.0,0.0,2.0,9.66
1296053,41.82147,-87.60086,2,1.0,75.0,1,1125,29,27,0,0.0,1.0,1.0,0.0,0.0,25.95
1296218,41.82184,-87.60129,2,1.0,75.0,1,15,29,23,1,0.0,1.0,2.0,0.0,0.0,25.32
1304049,41.8719,-87.68486,2,1.0,100.0,1,1125,30,103,7,7.0,1.0,2.0,0.0,2.0,8.07
1321332,41.92913,-87.66920999999998,16,3.5,395.0,2,60,27,74,11,37.0,27.0,15.0,0.0,0.0,20.82
1325769,41.91355,-87.63675,1,1.0,198.0,1,30,29,23,2,75.0,28.0,15.0,0.0,1.0,6.13
1333431,41.82179,-87.59985999999998,6,1.0,200.0,1,15,30,6,0,0.0,1.0,0.0,0.0,0.0,25.43
1356190,41.92083,-87.68896,2,1.0,90.0,1,1125,29,304,92,74.0,33.0,20.0,0.0,2.0,7.6
1361421,41.9459,-87.65460999999998,2,11.0,80.0,1,14,22,28,10,101.0,72.0,29.0,0.0,4.0,3.92
1369384,41.95564,-87.71154,2,1.0,60.0,2,7,0,125,0,15.0,15.0,5.0,0.0,1.0,20.0
1392594,41.96952,-87.67239000000002,8,2.0,168.0,3,28,4,24,3,48.0,19.0,13.0,0.0,2.0,10.43
1427950,41.98496,-87.66806,2,1.0,120.0,3,31,0,79,13,30.0,15.0,17.0,0.0,4.0,11.01
1428589,41.82781,-87.60523,3,1.5,50.0,1,1125,24,273,17,0.0,0.0,0.0,0.0,0.0,24.78
1434078,41.92989,-87.64103,6,1.5,380.0,12,1125,27,14,1,81.0,40.0,28.0,1.0,2.0,17.41
1461451,42.01653,-87.68788,1,2.0,25.0,1,1125,30,151,14,10.0,7.0,1.0,0.0,0.0,22.14
1468342,41.81266,-87.61586,2,1.0,65.0,2,7,29,123,18,1.0,2.0,4.0,0.0,2.0,8.18
1475647,42.01653,-87.68788,1,2.0,25.0,1,1125,7,97,16,10.0,7.0,1.0,0.0,0.0,22.14
1502674,41.91307000000001,-87.64012,5,1.0,158.0,4,180,23,36,17,85.0,39.0,20.0,0.0,2.0,4.64
1502700,41.91406,-87.63934,10,2.0,425.0,4,120,21,16,3,86.0,32.0,15.0,0.0,2.0,5.42
1541692,41.82936,-87.6048,2,1.0,55.0,3,7,22,94,17,,,,,0.0,32.49
1554433,41.71348,-87.67195,2,1.5,90.0,2,1125,27,162,21,1.0,1.0,2.0,0.0,,
1573401,41.85763,-87.66235999999998,4,1.0,65.0,2,14,0,187,61,24.0,7.0,12.0,0.0,1.0,9.69
1584422,41.90607,-87.6488,10,3.0,344.0,3,21,0,26,3,40.0,11.0,9.0,0.0,2.0,6.63
1584509,41.90697,-87.62941,11,5.0,475.0,2,1125,25,53,8,86.0,36.0,34.0,0.0,2.0,5.93
1587078,41.91638,-87.68422,4,1.0,149.0,2,1125,29,293,34,100.0,36.0,22.0,0.0,2.0,6.31
1591370,42.01114000000001,-87.67634,6,1.0,90.0,2,29,30,93,25,24.0,10.0,5.0,0.0,3.0,13.48
1614802,41.93455,-87.66141,3,1.0,60.0,4,90,28,271,43,74.0,51.0,24.0,0.0,3.0,10.66
1623463,41.859,-87.6462,6,1.0,135.0,2,31,29,40,11,34.0,9.0,8.0,0.0,0.0,21.17
1641601,41.97282,-87.67257,2,1.0,69.0,2,120,30,275,35,34.0,16.0,14.0,0.0,1.0,14.83
1648786,41.72836,-87.6136,4,1.0,32.0,2,30,22,84,19,0.0,2.0,0.0,0.0,2.0,19.66
1656336,41.82516,-87.67456,4,1.0,95.0,1,30,16,269,33,4.0,0.0,1.0,0.0,1.0,11.68
1663673,41.89322,-87.68571999999998,4,1.0,99.0,2,1125,29,317,46,35.0,26.0,14.0,0.0,1.0,27.75
1668481,41.89665,-87.69719,4,1.0,82.0,45,185,0,109,1,24.0,15.0,9.0,0.0,0.0,26.0
1672647,41.99892,-87.67322,7,1.0,109.0,7,365,17,224,24,17.0,7.0,10.0,0.0,1.0,16.05
1678422,41.93465,-87.65754,2,1.0,75.0,1,8,30,28,2,97.0,61.0,28.0,0.0,3.0,6.44
1721045,41.89003,-87.66254,2,2.0,71.0,1,60,30,94,22,94.0,28.0,17.0,0.0,3.0,13.31
1746734,41.79984,-87.59465,2,1.0,101.0,2,1125,30,337,32,40.0,6.0,10.0,5.0,0.0,28.94
1755737,41.94036,-87.64068,2,2.0,155.0,365,730,28,0,0,84.0,38.0,23.0,0.0,0.0,14.62
1759266,41.93396,-87.65897,6,1.0,250.0,3,365,0,32,2,96.0,60.0,29.0,0.0,4.0,7.36
1759389,41.84801,-87.68127,1,1.5,70.0,2,180,8,120,14,9.0,2.0,1.0,0.0,2.0,12.8
1778910,41.85675,-87.65501,10,1.0,69.0,1,365,30,476,86,35.0,10.0,9.0,0.0,0.0,17.09
1784523,41.93998,-87.70272,4,1.0,99.0,1,365,29,115,20,40.0,16.0,4.0,1.0,1.0,11.91
1810118,41.77892,-87.59886,3,1.0,59.0,1,1124,28,327,50,1.0,0.0,1.0,3.0,1.0,13.7
1837153,41.79963,-87.59477,2,1.0,115.0,3,1125,3,45,2,40.0,6.0,10.0,5.0,0.0,29.24
1852665,41.88575,-87.65052,3,1.0,200.0,60,1125,0,0,0,185.0,46.0,42.0,0.0,3.0,1.35
1854000,41.93283,-87.64315,2,1.0,225.0,1,1125,30,151,0,101.0,47.0,33.0,2.0,4.0,13.15
1900901,42.004,-87.67503,1,1.0,80.0,3,90,16,27,0,28.0,10.0,4.0,0.0,1.0,17.12
1917311,41.86991,-87.62856,2,1.0,200.0,3,30,30,23,0,47.0,25.0,29.0,3.0,7.0,5.83
1921670,41.94663,-87.70783,4,1.0,90.0,2,365,1,229,25,26.0,18.0,4.0,0.0,2.0,16.86
1944802,41.85453,-87.62052,4,2.0,190.0,60,1125,30,14,0,21.0,15.0,8.0,0.0,2.0,7.92
1954633,41.93101,-87.65878000000002,2,2.0,100.0,1,1125,29,179,32,81.0,48.0,27.0,2.0,4.0,8.08
1960332,41.94432000000001,-87.65988,8,2.0,519.0,3,120,29,12,9,94.0,74.0,27.0,0.0,5.0,5.12
1964520,41.94993,-87.66173,6,2.0,439.0,3,90,28,29,16,51.0,44.0,15.0,0.0,4.0,10.91
1965410,41.94943,-87.66129000000002,9,2.0,549.0,3,90,26,33,24,60.0,60.0,18.0,0.0,4.0,9.77
1989590,41.91344,-87.69031,2,1.0,55.0,3,17,30,200,26,56.0,18.0,14.0,0.0,2.0,8.64
1995991,41.9453,-87.65084,4,1.0,65.0,3,30,25,276,34,89.0,66.0,25.0,0.0,4.0,5.71
2011301,41.92118,-87.68678,2,1.0,75.0,1,1125,29,198,35,69.0,29.0,17.0,0.0,2.0,9.58
2012443,41.89278,-87.66131,2,1.0,55.0,3,1124,21,188,12,90.0,26.0,16.0,0.0,3.0,12.3
2046900,41.95611,-87.67708,4,1.0,116.0,2,1125,1,45,13,41.0,29.0,17.0,0.0,2.0,4.43
2051690,41.98864,-87.69345,2,1.0,50.0,30,60,11,20,5,12.0,5.0,4.0,0.0,0.0,33.99
2062638,41.8967,-87.65734,10,2.0,295.0,1,360,30,143,11,51.0,19.0,15.0,0.0,3.0,3.02
2075573,41.82926,-87.60859,5,1.5,60.0,1,1125,30,206,12,0.0,0.0,0.0,0.0,,
2087914,41.85658,-87.65423,2,1.0,120.0,1,1125,30,127,32,34.0,11.0,9.0,0.0,0.0,17.86
2093894,41.91827,-87.65263,1,1.0,85.0,1,1125,30,247,34,89.0,32.0,22.0,2.0,3.0,0.34
2103986,41.93395,-87.63923,2,1.0,75.0,1,1125,13,137,19,83.0,37.0,28.0,0.0,0.0,17.21
2139407,41.88745,-87.70784,5,1.0,83.0,1,1125,29,404,49,5.0,4.0,3.0,0.0,3.0,6.62
2163634,41.99462,-87.7795,5,1.0,95.0,1,1125,30,173,25,3.0,3.0,0.0,0.0,0.0,49.24
2189522,41.84828,-87.68021,1,1.5,70.0,2,180,18,139,12,9.0,3.0,1.0,0.0,2.0,11.57
2198953,41.92261,-87.71464,5,1.0,120.0,4,30,8,101,16,58.0,20.0,11.0,0.0,1.0,16.01
2212823,41.89309,-87.65061999999998,4,2.0,249.0,2,1125,0,50,0,129.0,32.0,22.0,0.0,4.0,4.16
2227179,41.89984000000001,-87.6764,2,1.0,100.0,5,14,25,46,5,111.0,37.0,30.0,0.0,1.0,13.87
2261568,41.91944,-87.65894,4,2.5,140.0,365,400,0,2,0,83.0,28.0,21.0,2.0,3.0,9.16
2298310,41.80379,-87.60386,2,1.0,29.0,2,1125,30,21,4,13.0,2.0,4.0,1.0,0.0,22.04
2305194,41.94594,-87.65431,4,11.0,96.0,1,14,22,51,16,101.0,72.0,29.0,0.0,4.0,3.01
2305230,41.94594,-87.65431,1,11.0,27.0,1,14,22,311,227,101.0,72.0,29.0,0.0,4.0,3.01
2320027,41.90669000000001,-87.68283000000002,4,1.0,105.0,2,28,0,158,13,115.0,34.0,28.0,0.0,1.0,9.51
2396340,41.89648,-87.65651,8,2.0,302.0,1,365,27,349,50,52.0,20.0,14.0,0.0,3.0,1.5
2429295,41.86756,-87.68661999999998,2,1.0,79.0,1,1125,30,51,10,4.0,2.0,2.0,0.0,1.0,13.14
2437230,41.94264,-87.68336,2,1.0,105.0,1,365,22,80,9,20.0,14.0,5.0,1.0,1.0,14.14
2453598,41.8877,-87.64276,2,1.0,130.0,60,365,30,7,0,279.0,76.0,70.0,1.0,8.0,3.6
2458029,41.93501,-87.64819,1,1.0,113.0,1,1125,0,14,6,117.0,68.0,38.0,0.0,3.0,7.17
2459132,41.96703,-87.75086999999998,8,1.0,95.0,2,1125,28,67,0,8.0,11.0,3.0,0.0,2.0,14.34
2473938,41.85105,-87.67942,2,1.0,60.0,30,90,0,128,18,13.0,3.0,5.0,0.0,3.0,6.99
2479175,41.96293,-87.69358000000003,2,1.0,85.0,2,18,29,169,26,35.0,17.0,13.0,0.0,3.0,5.46
2496594,41.89009,-87.62304,2,1.0,161.0,31,1124,30,4,0,304.0,92.0,116.0,5.0,9.0,8.08
2499596,41.90006,-87.68096,5,1.5,119.0,5,90,30,148,15,93.0,38.0,27.0,0.0,0.0,16.87
2509508,41.81207,-87.60417,4,1.0,85.0,3,1125,0,18,0,1.0,2.0,4.0,0.0,0.0,20.55
2510602,41.89076,-87.62276999999997,4,2.0,225.0,31,1125,30,4,0,298.0,92.0,116.0,5.0,9.0,8.24
2512247,41.90143,-87.63273000000002,2,1.0,75.0,7,60,1,4,1,184.0,56.0,71.0,2.0,3.0,4.75
2515100,41.89907,-87.68085,2,1.0,55.0,2,8,0,192,14,89.0,36.0,25.0,0.0,0.0,17.99
2515629,41.88342,-87.69618,2,1.0,30.0,2,60,7,128,20,5.0,1.0,2.0,0.0,3.0,2.28
