id,host_listings_count,latitude,longitude,accommodates,bathrooms,price,security_deposit,cleaning_fee,extra_people,minimum_nights,maximum_nights,maximum_minimum_nights,minimum_maximum_nights,availability_30,availability_365,number_of_reviews,number_of_reviews_ltm
966137,1,41.86755,-87.6788,6,1.0,269.0,500.0,0.0,20.0,2,1125,3,1125,30,90,40,0
979841,4,42.00498,-87.66712,2,1.5,69.0,95.0,0.0,20.0,2,90,2,90,30,359,209,33
979926,4,42.00623,-87.66794,2,1.5,59.0,95.0,0.0,20.0,2,90,2,90,30,363,240,27
979942,4,42.00426,-87.66693000000002,2,1.5,59.0,95.0,0.0,20.0,2,90,2,90,30,365,233,31
983640,4,42.00381,-87.67081999999998,4,1.0,159.0,150.0,0.0,20.0,2,90,2,90,29,343,176,30
1020810,5,41.8943,-87.62609,2,1.0,100.0,800.0,80.0,0.0,30,365,30,365,30,316,30,5
1027405,4,41.85432,-87.70769,4,1.0,45.0,550.0,0.0,10.0,2,1125,2,1125,28,88,6,0
1027463,4,41.85423,-87.70784,4,2.0,45.0,550.0,0.0,10.0,2,1125,2,1125,29,89,10,4
1027741,4,41.85455,-87.70768000000002,4,1.5,45.0,550.0,0.0,10.0,2,1125,2,1125,28,88,19,17
1032943,4,41.81996,-87.59978000000002,10,2.5,240.0,500.0,150.0,50.0,2,30,2,30,2,311,199,25
1056430,1,41.94376,-87.65164,2,1.0,79.0,0.0,45.0,0.0,2,30,2,30,23,315,320,31
1080532,4,41.93396,-87.64108,4,2.5,114.0,300.0,75.0,10.0,6,1125,6,1125,0,219,29,7
1083987,81,41.85278,-87.62453000000002,3,1.0,85.0,0.0,80.0,0.0,30,1123,30,1123,30,251,21,1
1096191,1,41.97271,-87.65236,2,1.0,55.0,0.0,50.0,0.0,30,400,30,1125,0,225,45,6
1101458,2,41.88655,-87.77086,6,1.0,55.0,0.0,20.0,13.0,1,1125,2,1125,29,350,197,24
1113259,1,42.01761,-87.67987,2,1.0,55.0,0.0,0.0,0.0,1,1125,1,1125,29,358,132,43
1127661,1,41.91791,-87.70933000000002,2,1.0,59.0,0.0,0.0,25.0,2,45,2,45,26,85,238,41
