id,latitude,longitude,accommodates,bathrooms,price,minimum_nights,maximum_nights,availability_30,number_of_reviews,number_of_reviews_ltm
2819982,41.85235,-87.6216,4,2.0,250.0,60,1125,29,8,0
2824585,41.94435,-87.79969,2,1.0,39.0,2,1125,29,14,0
2832376,41.85441,-87.62151,4,1.0,129.0,31,1125,30,7,0
2836339,41.89098,-87.62238,2,1.0,258.0,32,365,16,5,0
2837146,41.94795,-87.68314000000002,9,1.0,128.0,2,29,30,163,16
2844042,41.89425,-87.68468,3,1.0,99.0,28,1125,1,147,5
2874467,41.82872,-87.60826,3,1.5,50.0,1,1125,23,194,13
2874486,41.90243,-87.67028,5,2.0,210.0,2,1125,22,92,26
2875902,41.88766,-87.61754,5,2.0,220.0,32,1113,30,5,0
2879976,41.93758,-87.7124,2,1.0,75.0,1,1124,30,249,32
2907112,41.88523,-87.65195,2,1.0,130.0,4,1125,8,57,7
2907500,41.78355,-87.72894000000002,2,1.0,34.0,1,1125,0,303,0
2934604,41.9044,-87.67145,2,1.0,110.0,1,1125,27,267,37
2979322,41.92049,-87.65789000000002,2,1.0,200.0,28,90,29,6,2
2989466,41.79748,-87.59078000000002,5,1.0,115.0,2,1125,28,135,39
3031898,41.77293,-87.56951,2,2.0,70.0,32,1125,30,245,26
3052275,41.90263,-87.64155,2,1.0,94.0,1,1125,0,71,2
3053081,41.91548,-87.67451,3,1.0,125.0,1,30,7,264,63
3061036,41.85298,-87.62761,3,1.0,85.0,1,18,30,487,79
3068787,41.96315,-87.6804,4,2.0,150.0,3,1125,0,95,9
3083343,41.91603,-87.67119,4,1.0,130.0,3,75,24,73,13
3088192,41.93156,-87.71161,8,1.0,145.0,1,1125,15,394,71
3094937,41.94425,-87.68670999999998,5,1.0,70.0,1,1125,0,20,1
3105733,41.86823,-87.68483,2,1.0,97.0,1,1125,0,24,1
3111197,42.00529,-87.67761,2,1.0,130.0,3,1125,30,44,0
3138825,41.85683,-87.65249,12,1.0,69.0,1,1125,30,431,70
3143254,41.82875,-87.60826,5,1.5,60.0,1,365,27,254,16
3151779,41.92476,-87.68564,1,1.0,40.0,1,100,30,17,1
3191655,41.96697,-87.70906,5,1.0,100.0,3,29,29,13,0
3217145,41.93493,-87.6462,2,1.0,179.0,1,1124,29,242,3
3241929,41.90226,-87.6797,2,1.0,172.0,1,30,3,218,22
3267902,41.9895,-87.66685,4,1.0,85.0,2,1125,24,267,48
3292054,41.94313,-87.65613,8,3.0,450.0,3,1125,15,141,14
3293564,41.94465,-87.65477,2,1.0,99.0,2,1125,9,50,8
3295017,41.94276,-87.65498000000002,2,1.0,99.0,2,1125,18,23,4
3298786,41.93625,-87.71245,2,1.0,75.0,1,1125,30,78,15
3300206,41.90832,-87.69444,2,1.0,75.0,1,1125,30,61,14
3302759,41.89885,-87.68007,12,2.0,299.0,2,365,18,156,28
3303813,41.94279,-87.65548000000004,2,1.0,75.0,2,1125,9,81,18
3308694,41.8867,-87.64338000000002,5,1.0,299.0,2,30,29,38,13
3329088,41.88373,-87.70718000000002,4,2.0,85.0,2,93,15,89,19
3351169,41.8611,-87.6278,1,1.0,45.0,1,5,29,133,1
3373118,41.90961,-87.69635,4,2.0,130.0,30,60,28,0,0
3376665,41.90968,-87.69768,2,1.0,90.0,2,7,30,63,9
3385966,41.93755,-87.66932,5,2.0,142.0,2,1125,21,141,21
3394750,41.82583,-87.67534,3,1.0,95.0,1,30,16,87,27
3423436,41.94177,-87.65146999999996,1,1.0,70.0,2,1125,24,0,0
3434136,41.9402,-87.65133,1,1.0,75.0,2,1125,30,143,0
3453656,41.99993,-87.66844,2,1.0,45.0,10,90,18,34,7
3488317,41.94328,-87.6487,7,1.0,375.0,1,29,0,6,0
3497096,41.92709,-87.66337,2,1.0,59.0,32,1125,8,15,1
3517984,41.7998,-87.59380999999998,2,1.0,75.0,1,1125,27,307,73
3521727,41.94009000000001,-87.65697,4,2.0,230.0,30,180,0,9,0
3534562,41.92716,-87.65788,5,1.0,175.0,1,1125,24,358,66
3562948,41.82616,-87.67481,6,1.0,112.0,4,30,0,114,30
3563297,41.90182,-87.68401999999998,2,1.0,55.0,2,6,0,175,16
3570616,41.9293,-87.72039000000002,3,1.0,95.0,31,1125,22,140,1
3571862,41.88626,-87.61621,3,1.0,140.0,31,1124,30,12,0
3576287,41.97329000000001,-87.65765999999998,2,1.0,65.0,1,30,0,2,2
3580497,41.89805,-87.62977,4,1.0,91.0,31,1123,0,86,3
3585870,41.92245,-87.70345,2,1.0,110.0,2,160,4,223,23
3590692,41.99041,-87.66022,1,1.0,64.0,20,365,30,33,1
3627357,41.92529,-87.66642,2,1.0,199.0,2,1125,30,66,2
3634631,42.00355,-87.6738,1,1.0,70.0,3,120,2,13,0
3638346,42.00565,-87.6633,2,1.0,99.0,2,7,0,117,22
3638744,41.96024,-87.72159,4,1.0,67.0,3,1125,0,26,7
3639045,41.99783,-87.67373,4,1.0,51.0,7,1125,1,3,2
3666681,41.88975,-87.63425,2,1.0,200.0,30,1123,30,14,4
3667996,41.80285,-87.60354,2,1.0,34.0,2,1125,21,29,6
3676258,41.88665,-87.63292,6,2.0,249.0,30,1125,30,2,0
3684028,41.9318,-87.65113000000002,3,1.0,150.0,2,1125,0,64,5
3689246,41.89768,-87.6437,2,1.0,210.0,2,10,30,34,7
3696178,42.02139,-87.67363,2,1.0,45.0,3,1125,22,53,12
3697283,41.81793,-87.61796,1,1.0,75.0,2,7,0,11,2
3731110,41.90275,-87.6311,3,1.0,100.0,2,21,0,141,15
3742513,42.0168,-87.68771,2,2.0,25.0,1,1125,0,123,20
3760040,41.94224000000001,-87.65137,2,1.0,145.0,1,1124,29,144,14
3761023,41.83514,-87.64774,4,1.0,95.0,2,1125,22,41,33
3783099,41.97312,-87.65236999999998,2,1.0,70.0,30,1125,0,18,2
3783533,41.89806,-87.7034,6,1.0,90.0,1,180,0,288,48
3797518,41.77189,-87.57458000000004,2,1.0,100.0,3,7,30,2,0
3798482,41.91999000000001,-87.69001999999998,2,1.0,50.0,2,6,0,170,11
3811926,41.78384000000001,-87.72759,2,1.0,34.0,1,1125,30,410,58
3826514,41.91147,-87.66968,4,2.0,69.0,3,1124,8,264,51
3828422,41.95037,-87.6457,1,1.0,68.0,1,1125,0,37,8
