id,host_listings_count,latitude,longitude,accommodates,bathrooms,price,security_deposit,cleaning_fee,extra_people,minimum_nights,maximum_nights,maximum_minimum_nights,minimum_maximum_nights,availability_30,availability_365,number_of_reviews,number_of_reviews_ltm,restaurants,bars,cafes,universities,cta,time_to_cta_minutes
1461451,16,42.016529999999996,-87.68788,1,2.0,25.0,100.0,12.0,0.0,1,1125,1,1125,30,180,151,14,10.0,7.0,1.0,0.0,0.0,22.14
1468342,1,41.81266,-87.61586,2,1.0,65.0,150.0,30.0,20.0,2,7,2,7,29,360,123,18,1.0,2.0,4.0,0.0,2.0,8.18
1475647,16,42.016529999999996,-87.68788,1,2.0,25.0,100.0,12.0,0.0,1,1125,1,1125,7,157,97,16,10.0,7.0,1.0,0.0,0.0,22.14
1502674,10,41.91307000000001,-87.64012,5,1.0,158.0,0.0,125.0,25.0,4,180,4,180,23,335,36,17,85.0,39.0,20.0,0.0,2.0,4.64
1502700,10,41.91406,-87.63934,10,2.0,425.0,0.0,195.0,25.0,4,120,4,120,21,319,16,3,86.0,32.0,15.0,0.0,2.0,5.42
1541692,1,41.82936,-87.6048,2,1.0,55.0,0.0,60.0,25.0,3,7,3,7,22,353,94,17,,,,,0.0,32.49
1554433,1,41.71348,-87.67195,2,1.5,90.0,0.0,0.0,0.0,2,1125,2,1125,27,362,162,21,1.0,1.0,2.0,0.0,,
1573401,4,41.85763,-87.66235999999998,4,1.0,65.0,0.0,35.0,10.0,2,14,2,14,0,194,187,61,24.0,7.0,12.0,0.0,1.0,9.69
1584422,7,41.90607,-87.6488,10,3.0,344.0,0.0,125.0,25.0,3,21,3,21,0,0,26,3,40.0,11.0,9.0,0.0,2.0,6.63
1584509,2,41.90697,-87.62941,11,5.0,475.0,3000.0,300.0,150.0,2,1125,2,1125,25,307,53,8,86.0,36.0,34.0,0.0,2.0,5.93
1587078,5,41.91638,-87.68422,4,1.0,149.0,1000.0,50.0,40.0,2,1125,2,1125,29,336,293,34,100.0,36.0,22.0,0.0,2.0,6.31
1591370,1,42.01114000000001,-87.67634,6,1.0,90.0,500.0,50.0,20.0,2,29,2,29,30,359,93,25,24.0,10.0,5.0,0.0,3.0,13.48
1614802,1,41.93455,-87.66141,3,1.0,60.0,0.0,0.0,10.0,4,90,4,90,28,293,271,43,74.0,51.0,24.0,0.0,3.0,10.66
1623463,1,41.858999999999995,-87.6462,6,1.0,135.0,250.0,50.0,25.0,2,31,3,31,29,89,40,11,34.0,9.0,8.0,0.0,0.0,21.17
1641601,1,41.97282,-87.67257,2,1.0,69.0,150.0,25.0,10.0,2,120,2,120,30,348,275,35,34.0,16.0,14.0,0.0,1.0,14.83
1648786,1,41.728359999999995,-87.6136,4,1.0,32.0,0.0,0.0,10.0,2,30,2,30,22,348,84,19,0.0,2.0,0.0,0.0,2.0,19.66
